user_id,reaction_time,correct
0,0.2052,1
0,0.19519,1
0,0.170166,1
0,0.160156,1
0,0.165161,1
0,0.210205,1
0,0.220215,1
0,0.175171,0
0,0.305298,0
0,0.175171,1
0,0.165161,0
0,0.240234,0
0,0.21521,1
0,0.150146,1
0,0.180176,1
0,0.170166,0
0,0.480469,1
0,0.200195,0
0,0.185181,1
0,0.19519,0
0,0.175171,1
0,0.245239,1
0,0.180176,0
0,0.19519,1
0,0.210205,1
0,0.235229,1
0,0.200195,1
0,0.22522,0
0,0.170166,1
0,0.2052,0
0,0.170166,0
0,0.19519,0
0,0.240234,1
0,0.21521,1
0,0.185181,1
0,0.185181,0
0,0.22522,0
0,0.150146,1
0,0.285278,1
0,0.22522,1
0,0.21521,1
0,0.235229,1
0,0.200195,1
0,0.175171,1
0,0.280273,1
0,0.100098,1
0,0.190186,1
0,0.190186,1
0,0.230225,1
0,0.2052,0
0,0.180176,1
0,0.19519,0
0,0.150146,1
0,0.175171,1
0,0.185181,1
0,0.200195,1
0,0.165161,1
0,0.21521,1
0,0.210205,0
0,0.230225,0
0,0.245239,1
0,0.220215,1
0,0.170166,1
0,0.200195,1
0,0.375366,1
0,0.175171,1
0,0.240234,0
0,0.165161,0
0,0.190186,1
0,0.165161,1
0,0.2052,1
0,0.305298,1
0,0.190186,1
0,0.230225,1
0,0.170166,1
0,0.235229,1
0,0.230225,1
0,0.210205,0
0,0.275269,1
0,0.265259,1
1,0.285007,1
1,0.310007,1
1,0.190004,0
1,0.195004,1
1,0.205005,1
1,0.210005,1
1,0.220005,0
1,0.174971,0
1,0.209965,1
1,0.214964,0
1,0.224962,1
1,0.209965,1
1,0.189968,1
1,0.234961,0
1,0.24996,0
1,0.249958,1
1,0.219963,1
1,0.194967,0
1,0.229961,0
1,0.23505,1
1,0.205044,1
1,0.320068,1
1,0.195042,1
1,0.195042,0
1,0.265057,1
1,0.305065,1
1,0.225048,1
1,0.225048,1
1,0.300064,1
1,0.23505,1
1,0.200043,0
1,0.28006,1
1,0.200043,0
1,0.200043,1
1,0.275059,1
1,0.215046,1
1,0.255054,1
1,0.28006,1
1,0.23505,1
1,0.295063,1
1,0.18504,1
1,0.209885,0
1,0.229874,1
1,0.284843,0
1,0.264854,1
1,0.25486,0
1,0.299835,0
1,0.214882,1
1,0.279846,1
1,0.219879,1
1,0.239868,1
1,0.249863,1
1,0.229874,1
1,0.264854,1
1,0.239868,1
1,0.189896,1
1,0.194893,1
1,0.284843,1
1,0.14492,1
1,0.194893,1
1,0.25486,1
1,0.184898,1
1,0.174904,0
1,0.174904,1
1,0.164909,1
1,0.194893,1
1,0.229874,1
1,0.269859,1
1,0.239868,1
1,0.30983,1
1,0.284843,1
1,0.204887,1
1,0.214943,1
1,0.214882,0
1,0.224884,0
1,0.354805,1
1,0.224876,0
1,0.249863,1
2,0.280273,1
2,0.240234,0
2,0.265259,1
2,0.220215,1
2,0.260254,1
2,0.255249,0
2,0.245255,1
2,0.320312,1
2,0.275269,1
2,0.21521,1
2,0.22522,1
2,0.220215,0
2,0.22522,1
2,0.220215,1
2,0.230225,1
2,0.235229,1
2,0.21521,1
2,0.275269,1
2,0.265259,0
2,0.250244,0
2,0.240234,1
2,0.235229,1
2,0.260254,0
2,0.390381,1
2,0.270264,0
2,0.260269,0
2,0.300293,0
2,0.220215,1
2,0.260269,1
2,0.230225,1
2,0.250244,1
2,0.335327,0
2,0.310303,1
2,0.250244,1
2,0.265259,1
2,0.270264,1
2,0.260254,1
2,0.245239,1
2,0.285278,1
2,0.265259,0
2,0.21521,1
2,0.260254,1
2,0.22522,1
2,0.260254,0
2,0.270264,1
2,0.21521,1
2,0.245239,1
2,0.285278,1
2,0.260254,1
2,0.245239,1
2,0.245239,1
2,0.540558,1
2,0.200195,1
2,0.265259,0
2,0.230286,1
2,0.240295,0
2,0.43042,1
2,0.305298,1
2,0.240234,1
2,0.250244,0
2,0.255249,0
2,0.255249,0
2,0.265259,1
2,0.455444,1
2,0.255249,0
2,0.385376,1
2,0.235291,1
2,0.320312,1
2,0.290283,1
2,0.275269,0
2,0.230225,1
2,0.250244,1
2,0.320312,1
2,0.255249,1
2,0.290283,1
2,0.235229,1
2,0.305298,0
2,0.380371,0
2,0.285278,1
2,0.245239,1
3,0.305009,1
3,0.240005,1
3,0.215005,1
3,0.220005,1
3,0.255006,0
3,0.350013,1
3,0.224962,1
3,0.324957,1
3,0.269957,1
3,0.724878,1
3,0.569904,1
3,0.399937,1
3,0.23996,1
3,0.329945,1
3,0.309948,1
3,0.279953,1
3,0.330057,1
3,0.215046,1
3,0.230049,0
3,0.300068,1
3,0.215046,1
3,0.270061,1
3,0.225048,0
3,0.245052,0
3,0.305534,1
3,0.265057,0
3,0.37508,1
3,0.315067,0
3,0.28006,1
3,0.245052,1
3,0.215595,1
3,0.365078,1
3,0.255054,1
3,0.270058,1
3,0.215046,0
3,0.46542,1
3,0.295063,1
3,0.234871,1
3,0.334816,0
3,0.224876,0
3,0.314827,1
3,0.229874,1
3,0.244865,1
3,0.324821,1
3,0.329819,1
3,0.274849,0
3,0.300217,1
3,0.239868,1
3,0.244865,1
3,0.279892,1
3,0.479736,1
3,0.249863,0
3,0.269859,1
3,0.244865,1
3,0.359802,1
3,0.30983,1
3,0.249863,1
3,0.234871,1
3,0.264854,1
3,0.169922,0
3,0.34481,0
3,0.224876,0
3,0.589676,1
3,0.409775,1
3,0.259865,1
3,0.269852,1
3,0.269852,1
3,0.279846,0
3,0.30983,1
3,0.319824,0
3,0.244865,1
3,0.244865,1
3,0.269859,0
3,0.654648,1
3,0.274849,1
3,0.319832,1
3,0.229874,0
4,0.470011,1
4,0.600014,1
4,0.474938,1
4,0.299969,1
4,0.420012,1
4,0.274973,1
4,0.305098,1
4,0.314976,1
4,0.404947,1
4,0.274965,1
4,0.434946,1
4,0.364948,0
4,0.379955,1
4,0.334944,0
4,0.640198,1
4,0.410099,1
4,0.3801,0
4,0.240051,1
4,0.305073,1
4,0.470119,0
4,0.310085,1
4,0.28006,0
4,0.28006,1
4,0.245087,1
4,0.340103,1
4,0.260056,0
4,0.250069,1
4,0.320076,1
4,0.290077,1
4,0.295078,1
4,0.4151,0
4,0.380108,1
4,0.33007,1
4,0.370079,1
4,0.350075,1
4,0.350075,1
4,0.374809,1
4,0.34481,1
4,0.294838,1
4,0.404778,1
4,0.334816,1
4,0.284935,1
4,0.379814,0
4,0.294891,1
4,0.284843,1
4,0.299835,0
4,0.349808,1
4,0.349808,1
4,0.314842,0
4,0.294838,1
4,0.39978,1
4,0.394783,0
4,0.334816,1
4,0.359802,1
4,0.369797,0
4,0.274849,1
4,0.294899,1
4,0.304855,1
4,0.269852,0
4,0.364822,1
4,0.349831,0
4,0.274849,1
4,0.319893,1
4,0.364906,0
4,0.389786,0
4,0.299835,1
4,0.30983,1
4,0.274849,1
4,0.484734,1
4,0.389862,1
4,0.309921,1
4,0.274864,1
4,0.30983,1
4,0.339844,1
4,0.334831,1
4,0.355087,1
5,0.285278,1
5,0.310303,1
5,0.340332,1
5,0.270264,1
5,0.255249,1
5,0.295288,0
5,0.245239,0
5,0.390381,1
5,0.365356,1
5,0.260254,1
5,0.330322,1
5,0.310303,1
5,0.330322,1
5,0.280273,0
5,0.280273,0
5,0.405396,1
5,0.345337,1
5,0.330322,1
5,0.395386,1
5,0.310303,1
5,0.270264,1
5,0.285278,1
5,0.300293,1
5,0.350342,0
5,0.360352,1
5,0.310303,1
5,0.255249,1
5,0.230225,0
5,0.42041,1
5,0.43042,1
5,0.520508,1
5,0.265259,1
5,0.295288,1
5,0.260254,1
5,0.275269,1
5,0.385376,0
5,0.325317,1
5,0.355347,0
5,0.44043,1
5,0.305298,1
5,0.305298,0
5,0.415405,1
5,0.560547,1
5,0.365356,1
5,0.550537,1
5,0.44043,1
5,0.530518,1
5,0.370361,1
5,0.470459,1
5,0.570557,1
5,0.43042,1
5,0.290298,1
5,0.295288,1
5,0.380371,1
5,0.495483,1
5,0.285278,1
5,0.320312,1
5,0.280273,1
5,0.385376,1
5,0.4104,0
5,0.295288,1
5,0.450439,1
5,0.275269,1
5,0.450439,1
5,0.415405,1
5,0.385376,1
5,0.235229,1
5,0.270264,1
5,0.435455,1
5,0.390381,0
5,0.455444,1
5,0.620605,1
5,0.320312,1
5,0.725708,1
5,0.295288,1
5,0.22522,1
6,0.415405,1
6,0.325317,1
6,0.400391,1
6,0.385376,1
6,0.250244,1
6,0.255249,1
6,0.235229,1
6,0.215256,1
6,0.275269,1
6,0.340332,1
6,0.165161,1
6,0.295303,1
6,0.280273,1
6,0.355347,1
6,0.280273,1
6,0.265259,1
6,0.320312,1
6,0.295288,1
6,0.320312,1
6,0.390381,1
6,0.375366,1
6,0.46048,1
6,0.340332,1
6,0.340332,0
6,0.280273,1
6,0.265289,0
6,0.380371,1
6,0.280273,1
6,0.300293,1
6,0.690674,1
6,0.390381,1
6,0.290298,0
6,0.310303,1
6,0.330322,1
6,0.285278,1
6,0.325317,1
6,0.310303,1
6,0.4104,1
6,0.475464,1
6,0.395386,0
6,0.355347,1
6,0.460449,1
6,0.435425,1
6,0.370361,1
6,0.345337,1
6,0.44043,1
6,0.44043,1
6,0.405396,1
6,0.360352,1
6,0.445435,1
6,0.490479,1
6,0.490509,1
6,0.400391,1
6,0.42041,1
6,0.465454,1
6,0.260254,1
6,0.620605,1
6,0.270264,0
6,0.325317,1
6,0.565582,1
6,0.265259,1
6,0.515503,1
6,0.445435,1
6,0.550537,1
6,0.575562,1
6,0.425415,0
6,0.330383,1
6,0.290283,1
6,0.335327,1
6,0.280273,1
6,0.330322,1
6,0.350342,1
6,0.310303,1
6,0.615601,1
6,0.395386,0
7,0.513855,1
7,0.458282,1
7,0.326447,1
7,0.354141,1
7,0.368027,1
7,0.652893,1
7,0.41687,1
7,0.437744,1
7,0.375183,1
7,0.402832,1
7,0.39592,1
7,0.410034,1
7,0.555786,1
7,0.388947,1
7,0.305618,1
7,0.326599,1
7,0.653107,0
7,0.465256,1
7,0.375198,1
7,0.653137,1
7,0.319641,1
7,0.41684,1
7,0.416855,1
7,0.284866,1
7,0.315308,1
7,0.4104,1
7,0.325317,1
7,0.385376,1
7,0.340332,1
7,0.445435,1
7,0.4104,1
7,0.445435,1
7,0.295288,1
7,0.295288,1
7,0.400391,1
7,0.315323,1
7,0.145142,0
7,0.375366,1
7,0.265259,0
7,0.285278,0
7,0.365356,1
7,0.390381,0
7,0.375046,1
7,0.277771,1
7,0.277802,1
7,0.277802,1
7,0.250107,1
7,0.305481,1
7,0.31955,1
7,0.236328,0
7,0.361267,1
7,0.326599,1
7,0.375153,1
7,0.354187,1
7,0.375092,1
7,0.347321,1
7,0.653076,1
7,0.437775,1
7,0.465485,1
7,0.368988,1
7,0.330322,1
7,0.312531,1
7,0.330322,1
7,0.485474,1
7,0.382141,1
7,0.375,1
7,0.319489,1
7,0.354156,1
7,0.38208,1
7,0.486115,1
7,0.305359,1
7,0.611511,1
7,0.375122,1
8,0.402878,1
8,0.368088,1
8,0.382095,1
8,0.374939,1
8,0.382111,1
8,0.368103,1
8,0.333359,1
8,0.389084,1
8,0.361237,1
8,0.416809,1
8,0.576691,1
8,0.375031,1
8,0.388779,1
8,0.333435,1
8,0.396088,1
8,0.354248,1
8,0.347382,1
8,0.347137,1
8,0.416779,1
8,0.423676,1
8,0.319473,1
8,0.382156,1
8,0.41655,1
8,0.528,1
8,0.40303,1
8,0.354309,1
8,0.354248,1
8,0.402908,1
8,0.437759,1
8,0.389221,1
8,0.70163,1
8,0.493317,1
8,0.368195,1
8,0.528091,1
8,0.402603,1
8,0.368134,1
8,0.576447,1
8,0.375153,1
8,0.375107,1
8,0.430679,1
8,0.382111,1
8,0.410004,1
8,0.388885,1
8,0.389038,1
8,0.347336,1
8,0.458649,1
8,0.472244,1
8,0.694824,0
8,0.409698,1
8,0.395905,1
8,0.715424,1
8,0.486176,1
8,0.604126,1
8,0.520935,1
8,0.430634,1
8,0.451431,1
8,0.514038,1
8,0.444336,1
8,0.340332,1
8,0.340439,1
8,0.361298,1
8,0.388916,1
8,0.319397,1
8,0.298492,1
8,0.367767,1
8,0.36145,1
8,0.340179,1
8,0.395477,1
8,0.368408,1
8,0.284546,1
8,0.332886,1
8,0.437195,1
8,0.423157,1
8,0.409424,1
8,0.367859,1
8,0.402588,1
8,0.464844,1
9,0.520508,1
9,0.385376,1
9,0.325317,1
9,0.315308,1
9,0.330322,1
9,0.305298,1
9,0.335327,1
9,0.445435,1
9,0.360352,1
9,0.235229,1
9,0.330322,1
9,0.375366,1
9,0.290283,1
9,0.360367,1
9,0.385376,1
9,0.315308,1
9,0.365356,1
9,0.415405,1
9,0.375366,1
9,0.320312,1
9,0.395386,1
9,0.345337,1
9,0.400391,1
9,0.390381,1
9,0.380371,1
9,0.445435,1
9,0.380371,1
9,0.450439,1
9,0.405396,1
9,0.455444,1
9,0.350342,1
9,0.42041,1
9,0.540527,1
9,0.45047,1
9,0.375366,1
9,0.365356,1
9,0.4104,1
9,0.470459,1
9,0.365356,0
9,0.695679,1
9,0.305298,1
9,0.600586,1
9,0.615601,1
9,0.405396,1
9,0.340332,1
9,0.385376,1
9,0.485474,1
9,0.595581,1
9,0.480469,1
9,0.550537,1
9,0.355347,1
9,0.290283,0
9,0.380371,1
9,0.405396,0
9,0.535522,1
9,0.450439,1
9,0.325317,1
9,0.580566,1
9,0.355347,1
9,0.365356,1
9,0.335327,1
9,0.325317,1
9,0.380371,1
9,0.355347,1
9,0.455444,1
9,0.380371,1
9,0.315308,1
9,0.490479,1
9,0.435425,1
9,0.4104,1
9,0.335327,1
9,0.480469,1
9,0.405396,1
9,0.43042,1
9,0.345337,1
9,0.370361,1
9,0.370361,1
9,0.385376,1
10,0.175171,1
10,0.2052,1
10,0.230225,1
10,0.210205,1
10,0.180176,1
10,0.2052,1
10,0.160156,1
10,0.180176,1
10,0.2052,0
10,0.22522,1
10,0.190186,1
10,0.185181,1
10,0.210205,1
10,0.185181,1
10,0.235229,1
10,0.200195,1
10,0.180176,1
10,0.200195,1
10,0.19519,1
10,0.185181,1
10,0.185181,1
10,0.200195,1
10,0.185181,0
10,0.220215,1
10,0.210205,1
10,0.175171,1
10,0.19519,1
10,0.175171,1
10,0.2052,1
10,0.175171,1
10,0.180176,1
10,0.21521,1
10,0.2052,1
10,0.175171,1
10,0.190186,1
10,0.180176,1
10,0.200195,1
10,0.2052,1
10,0.185181,1
10,0.160156,1
10,0.175171,1
10,0.19519,1
10,0.185181,1
10,0.180176,1
10,0.365356,1
10,0.180176,1
10,0.210205,1
10,0.21521,1
10,0.21521,1
10,0.190186,1
10,0.21521,1
10,0.2052,1
10,0.19519,1
10,0.210205,1
10,0.21521,1
10,0.185181,1
10,0.185181,1
10,0.2052,1
10,0.205215,1
10,0.19519,1
10,0.210205,1
10,0.19519,1
10,0.22522,1
10,0.190186,1
10,0.200195,1
10,0.175171,1
10,0.220215,1
10,0.175171,1
10,0.170166,1
10,0.210205,1
10,0.19519,1
10,0.220215,1
10,0.185181,1
10,0.185181,1
10,0.230225,1
10,0.180176,1
10,0.2052,1
10,0.180176,1
10,0.170166,1
10,0.210205,1
11,0.21521,1
11,0.255249,1
11,0.185181,1
11,0.210205,1
11,0.185181,1
11,0.21524,1
11,0.21521,1
11,0.180222,1
11,0.220291,1
11,0.200195,1
11,0.2052,1
11,0.210205,1
11,0.220215,1
11,0.21521,1
11,0.175171,1
11,0.21521,1
11,0.200195,1
11,0.210205,1
11,0.19519,1
11,0.180176,1
11,0.200195,1
11,0.200195,1
11,0.21521,1
11,0.180176,1
11,0.250244,1
11,0.250244,1
11,0.180176,1
11,0.205261,1
11,0.175171,1
11,0.21521,1
11,0.190186,1
11,0.220215,1
11,0.19519,1
11,0.200195,1
11,0.185181,1
11,0.210205,1
11,0.21521,1
11,0.235229,1
11,0.240234,1
11,0.22522,1
11,0.19519,1
11,0.21521,1
11,0.2052,1
11,0.2052,1
11,0.335327,1
11,0.190186,1
11,0.23027,1
11,0.345337,1
11,0.255249,1
11,0.24028,1
11,0.200195,1
11,0.22522,1
11,0.185211,1
11,0.22522,1
11,0.190186,1
11,0.22522,1
11,0.220215,1
11,0.185181,1
11,0.310303,1
11,0.210205,1
11,0.19519,1
11,0.230225,1
11,0.245239,1
11,0.240234,1
11,0.195236,1
11,0.180176,1
11,0.275269,1
11,0.200195,1
11,0.220215,1
11,0.19519,1
11,0.310303,1
11,0.240234,1
11,0.290283,1
11,0.19519,1
11,0.230225,1
11,0.230225,1
11,0.250244,1
11,0.340332,1
11,0.200195,1
11,0.200195,1
12,0.185006,0
12,0.260006,1
12,0.165004,0
12,0.205005,1
12,0.245006,1
12,0.225005,1
12,0.195004,1
12,0.205005,1
12,0.200005,0
12,0.210005,1
12,0.215008,1
12,0.21501,1
12,0.205002,1
12,0.219997,1
12,0.19001,0
12,0.255003,1
12,0.230003,1
12,0.210003,1
12,0.180006,1
12,0.229996,1
12,0.190041,0
12,0.175037,1
12,0.230423,1
12,0.225048,1
12,0.225048,1
12,0.240051,1
12,0.200043,1
12,0.250053,1
12,0.220047,1
12,0.24506,1
12,0.160034,1
12,0.205044,0
12,0.360077,1
12,0.225048,1
12,0.205044,1
12,0.18504,1
12,0.190094,0
12,0.200043,1
12,0.190041,1
12,0.195042,1
12,0.18504,1
12,0.220047,1
12,0.200043,1
12,0.229874,1
12,0.224876,1
12,0.249863,1
12,0.25486,1
12,0.25486,1
12,0.324921,1
12,0.229927,1
12,0.209885,0
12,0.194893,1
12,0.209892,1
12,0.314827,1
12,0.25486,1
12,0.219879,1
12,0.259857,1
12,0.284851,1
12,0.249893,1
12,0.19989,0
12,0.219879,1
12,0.214882,1
12,0.289848,1
12,0.184898,1
12,0.204887,1
12,0.214882,0
12,0.214882,1
12,0.259857,1
12,0.224876,1
12,0.264854,0
12,0.214882,1
12,0.194893,1
12,0.204887,1
12,0.25486,1
12,0.164909,1
12,0.229874,1
12,0.214882,1
12,0.179901,1
12,0.209885,1
12,0.19989,1
13,0.360015,1
13,0.22501,0
13,0.240009,1
13,0.255009,1
13,0.190007,1
13,0.195004,1
13,0.230005,1
13,0.185004,1
13,0.240005,1
13,0.190005,1
13,0.185004,1
13,0.200014,1
13,0.180014,1
13,0.20001,1
13,0.205006,0
13,0.215008,1
13,0.280022,1
13,0.199999,1
13,0.20002,1
13,0.175011,1
13,0.195015,1
13,0.200016,1
13,0.240026,1
13,0.19001,1
13,0.205044,1
13,0.195042,1
13,0.210045,0
13,0.205044,1
13,0.170036,1
13,0.195042,1
13,0.215046,1
13,0.200043,1
13,0.275059,1
13,0.260056,1
13,0.255054,1
13,0.190041,1
13,0.190041,1
13,0.225048,1
13,0.250053,0
13,0.155033,1
13,0.190041,1
13,0.240051,0
13,0.230049,1
13,0.190041,1
13,0.205044,0
13,0.195042,1
13,0.23505,1
13,0.179901,1
13,0.174904,1
13,0.179901,1
13,0.244865,1
13,0.234871,1
13,0.184898,1
13,0.229889,1
13,0.209885,1
13,0.239868,1
13,0.179901,1
13,0.204887,0
13,0.19989,1
13,0.184898,1
13,0.19989,1
13,0.274849,1
13,0.204887,1
13,0.189896,1
13,0.184898,1
13,0.189896,1
13,0.219879,1
13,0.229874,1
13,0.169907,1
13,0.289894,0
13,0.19989,1
13,0.494728,1
13,0.219879,1
13,0.219879,1
